id,text,Educator
1.82e+18,"Book me for your next event. I am available for PD, keynotes, &amp; coaching on #AI, AR/VR, #SEL, #STEM, emerging tech &amp; more! Contact form: https://t.co/mDByzRlBxP #education #edchat #edtech #STEM #generativeAI @ISTEofficial @EduMatchbooks https://t.co/QuTcyS0vY8",0
1.82e+18,"#ChatGPT for #education: Analysis, evaluation and critical thinking || https://t.co/H1oFfDx4dC #AI https://t.co/a2o6S3MSXl",0
1.82e+18,"AI Course Creator is NOW LIVE, a revolutionary tool that creates high-quality courses in minutes! #AI #EdTech  Watch our CEO, Scott Rogers, as he showcases some of the incredible courses created with AI Course Creator.  FREE TRIAL: https://t.co/5VPQX6mJZb  https://t.co/CWvyrbcce7",1
1.82e+18,"3) What was your experience like testing DALL-E 1 with OpenAI?  It was a trip. We had been doing work testing the limits of OpenAI’s CLIP model for a while, and Sam reached out to see if we’d be interested in experimenting with their new model in research. The jump in fidelity at… https://t.co/drKZEc17z4 https://t.co/Fr6XtEXL08",1
1.82e+18,"How are you leveraging @getpostman to test and evaluate AI tools and services? We'd like to learn from your workflow. Share your use cases, challenges, and best practices with us.   Your feedback helps us improve!   https://t.co/v6hV4o81k5   #Postman #AI #APITesting",0
1.82e+18,JPMorgan pitches in-house chatbot as AI-based research analyst https://t.co/3rVGdQgix1,0
1.82e+18,📚 AI empowers students to express their thoughts. Let's disrupt for good. Register now at https://t.co/D8sdy5DFTI. #AI #Education #Empowerment,0
1.82e+18,"Check out NVIDIA at #CVPR2024. ✨We will explore groundbreaking #AI tech including JeDi, FoundationPose, NeRFDeformer, and VILA from #NVIDIAResearch; and explore innovations in autonomous driving automotive, healthcare, and robotics, and more.✨ https://t.co/rvP20vAA6q https://t.co/7xdRq7WkN0",0
1.82e+18,"As attempts to regulate certain aspects of #AI succeed, goalposts shift &amp; solutions must adapt. The ‘Moving Horizons’ approach suggests responsive &amp; dynamic management of risks &amp; opportunities for innovation    @samirsaran, @AnulekhaNandi &amp; @SameerP_IND    https://t.co/fxHQBbmKCr",0
1.82e+18,Recursive IntroSpEction (RISE): A Machine Learning Approach for Fine-Tuning LLMs to Improve Their Own Responses Over Multiple Turns Sequentially  https://t.co/aiTzbvZEyu  #RISE #MachineLearning #LLMs #AI #ArtificialIntelligence #ai #news #llm #ml #research #ainews #innovation #… https://t.co/mvkcyPfqpP,0
1.82e+18,"🔗 Dive into the future of education with AvaCoach's interactive tools and resources. From virtual classes to personalized content, AvaCoach is here to make learning engaging and effective. 🌐🎓 #AvaCoach #Edtech #AI",1
1.82e+18,Tweet 3:  No more one-size-fits-all education! 🙅‍♀️ AvaCoach empowers students to learn at their own speed and explore their interests. Ready to unlock your full potential? Join the AvaCoach revolution today! #AvaCoach #ai #Education #Learning,0
1.82e+18,Tweet 1:  T he future of learning is here! 📚 @AvaCoachapp is revolutionizing #Edtech by using AI to personalize education for every student. Imagine a learning experience tailored to your individual needs and pace - that's AvaCoach! #AvaCoach #ai,0
1.82e+18,H14 @Ancestry im selling out here but you Heard it here first. With every DNA F20 test kit goes out with return Media mail envelope for old family photos #AI #facialrecognition add billions to valuation. Already a buy! https://t.co/SJmLYXvwNR,0
1.82e+18,"Innovating is tough, but in today's market, it's crucial to transform operations rapidly, affordably, and effectively. New research shows that #AI tools shine in process improvement and diverse recombination innovation—boosting productivity by up to 7%. https://t.co/u4z1SP9Rcy",0
1.82e+18,#GoogleinEurope #GoogleinAfrica #Sustainability #AI #Research Wildfire boundary maps expand to new countries in Europe and Africa https://t.co/EYgJdJR1vn,0
1.82e+18,POV: you're struggling writinh your research paper.🥲 https://t.co/U6bdJzczpE #website #AItutorials #weopi #freeai #ai #aitool #weopiai #UndetectableAI #SafeAI #studyhacks https://t.co/6Cpq6QKIU2,0
1.82e+18,"Think your test coverage is complete? 🤔 If your tests don’t align with real user actions, you’re missing critical gaps. Discover how to identify and prioritize these gaps, making your tests more relevant and effective. Test smarter today.👉https://t.co/U9gwoWYv4W #GenAI https://t.co/qFZsp5CfUb",0
1.82e+18,"👀 #SIGGRAPH2024 preview ➡️ https://t.co/hCP1NV7mGp  ✨ #NVIDIAResearch will showcase advancements in #generativeAI and #simulation, showing how simulation research enhances AI models and how #AI models are advancing simulation technology. @nvidiaaidev https://t.co/8D6DGcY4nG",0
1.82e+18,"LadyDemosthenes I've got about a month, although I do have to get my fall courses set up. My ""summer classes"" were a Lumen Circle on Generative AI in the classroom. How about you?",1
1.82e+18,"Thrilled that ServiceNow won VentureBeat's AI Innovation award for Best Enterprise Software Implementation of GenAI! This award recognizes ServiceNow Research’s work with Hugging Face and BigCode on StarCoder, fostering a collaborative &amp; open AI ecosystem. https://t.co/tAUH2lBDnD https://t.co/7XX85tB86N",1
1.82e+18,🔭 Dioptra: open source test platform for assessing the trustworthy characteristics of AI: https://t.co/zTpKM4NK5X  🤖AI Risk Management Framework: https://t.co/LWFVVdSsh3  💾 Secure Software Development Framework: https://t.co/vK4sYyFeMZ #NIST #AI #Infosec #SSDF #cybersecurity,0
1.82e+18,"Trustworthy #AI is:  🤖valid and reliable,  ⚠️safe,  🔒secure and resilient,  🔎accountable and transparent,  📋 explainable and interpretable,  🧑‍💻 privacy-enhanced, &amp; 🧍‍♀️🧍‍♂️and fair - with harmful bias managed  ..as per @NIST AI RMF  🔭Dioptra = tool to test AI 👆   Resources👇 https://t.co/fUNBKGmCkI",0
1.82e+18,Attention educators! Don’t miss out on our final badge offer: “Exploring AI with Students”. Complete daily tasks and earn your badge! 🎉https://t.co/1kneJO1kY1 #EdTech #AIinEducation #education #AI #teaching #classroomtechnology #professionaldevelopment #learningwithtech,1
1.82e+18,"The G7’s approach emphasizes using AI for societal benefits, ensuring worker protection, promoting education and skills development, fostering economic growth,  in AI development and adoption.  Read more  here: https://t.co/LxwQ4hb27T  #AI #Cybersecurity #G7 #Regulation #ethics",0
1.82e+18,"The G7’s approach emphasizes using AI for societal benefits, ensuring worker protection, promoting education and skills development, fostering economic growth,  in AI development and adoption.  Read more  here: https://t.co/LxwQ4hauil  #AI #Cybersecurity #G7 #Regulation #ethics",0
1.82e+18,Shi4Tech @SpirosMargari0s @DeepLearn007 @jblefevre60 @CurieuxExplorer @BetaMoroney @FrRonconi @sallyeaves @efipm @Nicochan33 @jeancayeux @bimedotcom @Fabriziobustama @anand_narang @Xbond49 @EstelaMandela @mikeflache Fascinating study!  User education on LLMs is crucial to set realistic expectations and prevent failures. It's all about managing that AI potential! #AI #GenerativeAI,0
1.82e+18,New artificial intelligence research published by Apple reveals that Apple has been using Google hardware to build the early foundations of Apple Intelligence. By @mike_wuerthele     https://t.co/42nIaKpdVx,0
1.82e+18,Doing research on mental health services and came across this horrifying feature from @Qualifacts.  https://t.co/ZSvbEHq49w  STOP IT. STOP IT. STOP IT. I DO NOT WANT ARTIFICIAL INTELLIGENCE CREATING THE DOCUMENTATION FOR MY HEALTH CARE.,0
1.82e+18,"Shashi Salavath, a student in the @TheresaWalunas lab, presented his research at ICCS in Spain. With @NUFeinbergMed, he developed Carenet software that helps cancer patients undergoing immunotherapy by using patient data to guide treatment decisions https://t.co/eyd1pJk91h  #AI",1
1.82e+18,Obtenha sua #certificação #gratuita em inteligência artificial generativa com a Oracle e junte-se à nova geração de especialistas em #IA. Aproveite os últimos dias. Gratis até 31 de julio. Certifique-se hoje: https://t.co/1NDYlZoAGI https://t.co/Tpr7cjgqEj,0
1.82e+18,"Live from #SIGGRAPH2024: Our CEO Jensen Huang and @Meta CEO Mark Zuckerberg chat on #AI and the next computing platforms. Watch the livestream to discover #generativeAI and virtual world breakthroughs, and how research is driving AI advancements. https://t.co/HXOSbm8q95",1
1.82e+18,"I'm thrilled to share my learning journey with you all! #My3MTT #3MTTLearnin Journal. Over the past few months, I've Had the privilege of completing the 3mtt courses. Thank you, 3MTT Nigeria  for providing this fantastic learning experience! #3MTT #AI #Design #LearningJournal. https://t.co/y9P2AcOMoG",0
1.82e+18,[CL] AI Safety in Generative AI Large Language Models: A Survey   https://t.co/0JK83XKlmO         - This survey provides an up-to-date overview of AI safety research for generative AI and large language models (LLMs) from a computer science perspective.  - It explores the… https://t.co/jhZGInPOtC https://t.co/ccvr5p4mgY,0
1.82e+18,"@BeckyKeene @GetSchoolAI I just ran over SchoolAI -- I didn't find anything obvious. MagicSchool was pretty blatant, and the software shockingly invasive to teacher &amp; student usage. The screenrecording of your use seems beyond the pale, and certainly beyond what I expect as a user.",1
1.82e+18,"@charles_sainty @GaryMarcus You have significant capacity to misunderstand. AI is not improving rapidly, not really, it is only presented as such. I was referring to genAI use by normies. I would never even send an email written by those things, it is so stupid. Useful for some quick research summary, sure.",1
1.82e+18,"https://t.co/WCRXHWt4TI uses artificial intelligence (#AI) to monitor great white sharks populations, keeping local communities informed and contributing to conservation research. 🦈  Explore our work in the latest @CNN story https://t.co/55RGycLYAX",0
1.82e+18,"GenAI can make a huge difference in education if it is developed responsibly and deployed right. If you want to be a part of the team trying to figure out how to do this, now is your chance - we are hiring! https://t.co/1xqrMB8Ljc",0
1.82e+18,"🔹 DevRel Tools, 📚 Crypto Education, 📊 Wallet Insights, 🛡️ AML Compliance – Crypto Core AI has it all! Transform your business with our cutting-edge AI solutions. #SaaS #Blockchain #AI",0
1.82e+18,AI による PPM 実践の変革: Info-Tech Research Group が戦略的プロジェクト成功のためのガイドを発表 #PPM #AI #ITLIVE2024 #InfoTech https://t.co/SnFFI7FGqu,0
1.82e+18,@skirano Omgg fine-tuning? I recently fine-tuned Mistral 7b for movie character chatbot but need to test it first- Llama seems promising,0
1.82e+18,This should be setting off alarm bells in everyone.  Big tech corporations are teaching Artificial Intelligence to lie to us. https://t.co/lxfGxabfWw,0
1.82e+18,"Hey Frens Introducing to you guys AvaCoach This platform is reshaping language learning with cutting-edge tech and a token-based ecosystem. Say goodbye to traditional methods and hello to personalized, engaging language education #Avacoach #edtech #ai https://t.co/48YEbqcJ3v",0
