,id,text
0,1819587000942711115,"Ever tried to coach a chatbot? 🤖 It’s like teaching a goldfish to fetch! 🐠 But with AI evolving, our virtual assistants are leveling up fast! 🌟 What’s your favourite AI moment? Let’s chat! 👇 #AI #Chatbots #CustomerEngagement #FutureOfService"
1,1819582177467945173,Yet another challenge secondary and tertiary educators are facing is bot-written assessments by emergent generative AI such as ChatGPT 🤦🏽‍♀️ #plagiarism #cheating #integrity #teachers 🤷🏽‍♀️ https://t.co/wdU7z8ofoL
2,1819577604627689742,"GitHub Models is a new feature that allows users to test popular large language models from the likes of Meta, OpenAI, Mistral and more. #GitHub #GitHubModels   https://t.co/OrJSmv2pJs"
3,1819573844488659139,@bgurley @OpenAI predict:   The impact of genAI on  education / teaching / training will be so profound as to render those  words themselves obsolete.
4,1819572730297307636,Photoshop vs. Midjourney vs. DALL-E 3: Only one AI image generator passed my 5 tests https://t.co/rf9bYRzIz3 via @ZDNET &amp; @DavidGewirtz
5,1819571641900265979,Quando o resultado do professor é igual o meu resultado q peguei no chat gpt https://t.co/oOJRfbo08u
6,1819570428190380145,100% off Udemy course coupon  Generate Images With Artificial Intelligence  https://t.co/YL7AMiH14w  #udemy #udemyfreecoupon #udemycoupon #udemydiscount #korshub #onlinecourse #freecourse #generativeai #artificialintelligence #generativeimage #passiveincome
7,1819566442431275347,Join us in shaping the future of AI in the workplace! Your insights matter. Book your research interview with us now. #AI #FutureOfWork 🤖 @AIGroupAI https://t.co/gn3cgy32iT
8,1819561347882852598,"The ""Technology Mobile Classroom"" is a mobile classroom that is meant to help local entrepreneurs learn more about social media and artificial intelligence. https://t.co/aE7aEdFjvH"
9,1819560359554175483,"@Osborne__Cox @TheRickWilson You can always tell when Trump, Conway, Vance et al use Chat gpt to write their speeches. Like every Chat gpt assignment it ends with ""In Conclusion"" and the #WeirdMAGA leave it in 😁😂🙄😜🤷"
10,1819557561927881189,3 factors should guide executives in the selection of AI projects https://t.co/2fGjUWzDmb #GenAI #AI #Procurement
11,1819557430621040994,100% off Udemy course coupon  Travel Writing from A-Z &amp; Chat GPT  https://t.co/b5tUxXa93G  #udemy #udemyfreecoupon #udemycoupon #udemydiscount #korshub #onlinecourse #freecourse #travelwriting #travelvlogging #travelblogging #contentwriting
12,1819556980056346917,This was written by either a D+ poli. sci. student or Chat GPT.   EPA: From environmental champion to bureaucratic goliath? - Competitive Enterprise Institute https://t.co/upnm2aaReZ
13,1819555542400204838,"Have you used videos to help train a new employee? That’s how Google’s teaching robots, thanks to its Gemini 1.5 Pro AI model. And they can complete more than 50 different instructions with a 90% success rate in the real-world   #AI #Robotics #Google   https://t.co/G1h3c5q9dU https://t.co/QgRniOf4pi"
14,1819551202498981927,Explore how artificial intelligence is revolutionizing Valley schools beyond the classroom. Gain insights on innovative AI applications in education in this compelling blog post. Don't miss out! Read it here: https://t.co/xcPceoQ9uv
15,1819551198212448445,Check out the latest post discussing the potential for a new artificial intelligence degree at U of N. Get all the details here: https://t.co/OJaGYjcCvA #education #artificialintelligence
16,1819550699224506793,"Circular to all Universities and Centres of Legal Education by Bar Council of India to incorporate subjects such as block chains, electronic discovery, cyber-security, robotics, Artificial Intelligence and bio-ethics etc. in their curricula https://t.co/IY1y4QwAMv  @PIB_India"
