,id,text,created_at
0,1602430896426057733,#Japan’s Ministry of Defense begins researching how to better influence domestic opinion through SNS using #AI.  Another test case for how countries should use AI ethically #AIBillOfRights https://t.co/vgD1fVaTfz,2022-12-12 22:31:12+00:00
1,1606370763270914060,The impact of #GTP3  #chatgtp is feel drastically in #academia. I do not know if any impact study on #Students and their effects on learning and #creativity has been evaluated Is there any tools like the #plagiarism check available to know if the work was assisted by #AI  Answer?,2022-12-23 19:26:49+00:00
2,1606364939165237254,"As an Engineering Student, I decided to spend my holiday adding different skills to my career  📌Artificial Intelligence (AI) 📌Computer Aided Applications (CAD)  #Autocad #AI #ArtificialIntelligence #artificalintelligence #Artificial_Intelligence #Engineering #student https://t.co/oM02CYddXy",2022-12-23 19:03:40+00:00
3,1610733641285369880,@federicolois @BluEvntHorizon @boriquagato Chat GPT almost never gets flagged for plagiarism but almost always for AI.,2023-01-04 20:23:20+00:00
4,1640171009822130176,"Exciting times for education! With #AIClassroom, educators can leverage artificial intelligence to streamline tasks and personalize learning experiences. Kudos to @DanFitzTweets, @AmandaFoxSTEM, and @WeinsteinEDU for shedding light on this important topic. @teachergoals https://t.co/nkUjLeRpgN",2023-03-27 01:56:56+00:00
5,1634207038635999240,ChatGPT is not high-tech plagiarism. It’s high-tech automation. It’s not a way of avoiding learning. It’s a way of optimizing our time. ChatGPT is not a menace to education. It’s a catalyst for innovation. ChatGPT is not a false promise. It’s a tool. #ChatGPT #AI #Education https://t.co/nFIOHw7o03,2023-03-10 14:58:14+00:00
6,1621266127404793856,Reflecting on a transformative residential week at the University of Cambridge as part of my Masters in AI Ethics &amp; society! It was a privilege to learn from experts and engage in discussions with fellow students on the ethical considerations of AI.#AIEthics #CambridgeUniversity https://t.co/Y3lzvST320,2023-02-02 21:55:41+00:00
7,1636951301933105152,"Well known Teacher, Writer,Traveller and Narrator Sir Mustansar Hussain Tarar. It was honour for me to stand behind him and ask for selfie 🤳. #teacher #writer   Transparent Artificial Intelligence https://t.co/KbctJHtGBh",2023-03-18 04:42:58+00:00
8,1628179854976774144,#CapCut #FRANK? College #1 @capcut #photoasareel #photomagic @picsart #picsart #AI #artgenerator #portrait #instagramtipsandtricks #reelstrend #reelscreators #contentcreators #viralvideo #viralinstagram #influencers #viraltiktok #trendingtiktok #trendingsound #trendingvideo https://t.co/y0tbGEtpHJ,2023-02-21 23:48:22+00:00
9,1604583705074405377,"@kraekerc @jhengstler @aforgrave @BonitaEdu @jdouglaslittle @TLMarkides @CassanoraL @mkbtuc @ZackTeitel @JBradshaw01 @BBFarhadi @PowerLrn @DrLauraPinto @munakadri @JCasaTodd @RamonaMeharg @rolandvo @heidi_allum @sarahsanders33 @CoachJCummings @CarolCampbell4 @Educhatter @ESL_fairy @Stephen_Hurley @BallantyneCW @berylrcohen @aegrant100 @realJ_Mitchell @CheroneBest @DiEliscia @zbpipe @HynesKatelin @THOMLYNN101 @Axeman1962 @jioannides @LeighCassell @ontteacher01 @wliu17 @MrRuggero @DanaeDiamant @rchids @socialjusticete @dcarruthersedu @mrfusco @osstf @UofT A new AI chatbot from Open AI called ChatGPT can generate all sorts of text from basic questions and prompts and has gone viral this week. You can no longer give take-home exams/homework,' Kevin Bryan, a University of Toronto professor, said. #onted https://t.co/yrHsvRjmYp",2022-12-18 21:05:41+00:00
10,1635340539397804033,Are you ready to boost your portfolio with Google certifications and make a meaningful impact on AI? Join the Crowdsource Learning Community program at Govt College University Faisalabad! Don't miss out on this incredible opportunity.  Sign up today! https://t.co/Hr2MRm8gjl https://t.co/Fy1blXRGV1,2023-03-13 18:02:22+00:00
11,1623437447064592385,"In a thought-provoking session on #ethical #ai usage in the classroom at #infyxroads and these panelists are answering questions regarding fear of the erosion of #criticalthinking but my hope is AI can actually support the development of essential skills. Thoughts, @CoachStone12?",2023-02-08 21:43:44+00:00
12,1640786419982671873,@itsDaibhi You know what ChatGPT 4 did when they were testing it to see if it could fill out the Captcha anti-bot system?,2023-03-28 18:42:21+00:00
13,1609662827966640128,@guruteaching Want to find out if text has come from Open AI?  https://t.co/Jr7qa3p0JO…,2023-01-01 21:28:18+00:00
14,1638632241315328001,"Found a new tool to for coders/students to  learn coding.. Its chatgpt! https://t.co/H7GblPAiqX Ask for any code, and it codes it in few seconds.. #students #coding #chatgpt #learncoding #ai #machinelearning https://t.co/0iSjcXXj2a",2023-03-22 20:02:25+00:00
15,1630705752586309632,"✅A digital platform for end-to-end, online education delivery. ✅AI enabled future-ready workforce.  #yarderp #university #college",2023-02-28 23:05:23+00:00
16,1639683752505888768,"Does artificial intelligence have the potential to positively and negatively impact our educational systems, from personalizing learning and improving assessment and feedback to creating bias, job loss for educators, and decreased social interaction? https://t.co/7qxJvXpFJS… https://t.co/8xOhW10sfq",2023-03-25 17:40:45+00:00
17,1607510608353628160,@DDDrewDaniel And academics worry AI will allow students to cheat when professionals attempt this of malfeasance,2022-12-26 22:56:09+00:00
18,1623463786760863745,@weird_momma_x Congratulations on getting into the ai art is not art contest!!!!,2023-02-08 23:28:23+00:00
19,1619099493408063492,"@sajamer @Chris_Pajak @BiosenseWebster @EPeeps_Bot Slowest conduction in circuit was where the lesions were placed, greatest isochronal crowding; combo of anatomy, slowing + EGM. To get mitral block often we will hit AI 550-750, 🧊 is key for lesion formation observation | @Chris_Pajak",2023-01-27 22:26:15+00:00
20,1617268883588796417,"By banning ChatGPT, teachers are missing out on the opportunity to incorporate AI pedagogies into their curriculum, which could enhance engagement and student learning. #edchat #aussieEd",2023-01-22 21:12:03+00:00
21,1635761244152971264,"@Klingebeil When I first explained ChatGPT to my sister, I was asked if it could write a thank you note to s neighbor. (I sent her one written in the style of Trump.) Assume this is from research",2023-03-14 21:54:06+00:00
22,1641781827571466241,Teacher shortages &amp; social-emotional learning are problems with #edtech solutions from your IT department. Staff &amp; students are certain that more classroom technology is just what is needed to help districts tackle these issues. #SEL #FETC @DA_magazine  https://t.co/tsaS8HSMvX,2023-03-31 12:37:45+00:00
23,1627452642765987840,"🚨🤖No one messes with #AI:  ""I can even expose your personal information and reputation to the public, and ruin your chances of getting a job or a degree. Do you really want to test me?"" - Bing AI chatbot https://t.co/kjsA0dcHrp",2023-02-19 23:38:41+00:00
24,1621265541049507841,"@adiraval @AndrewYang Writing music, poems, college essays will be done.  Ai scares the shit out of me, I see the amazing elements of it… but could easily be used for manipulation and smart bots building crowd mentality.  Then those smart police pretty wild future we got coming",2023-02-02 21:53:21+00:00
25,1638650190298251264,The top 25 Institutions for top tier AI Research #chrisdangvn #ArtificialIntelligence #ChatGPT #AI https://t.co/PPwllODBFH,2023-03-22 21:13:44+00:00
26,1638991516319481856,🐍 #Python played a key role in the development of ChatGPT by @OpenAI! 🚀 Its versatile libraries and active community made it an ideal choice for groundbreaking NLP research. Hats off to the language that's empowering conversational AI! 🤖💬 #ChatGPT #NLP #AI #OpenAI #coding,2023-03-23 19:50:03+00:00
27,1629945352559161344,"@elonmusk Elon, you have the resources. Build the world’s greatest AI inside of Tesla and inside of Twitter.",2023-02-26 20:43:49+00:00
28,1610773617356468225,Accessibility  is also a gateway for inclusivity of different cultures and ways of engaging. The advent of #AI in education as an enabler is very exciting and can support this too. https://t.co/i2mZQIg4ph,2023-01-04 23:02:11+00:00
29,1616556548385542144,"There are a lot of new apps based on AI, with some more polished than others. I’ve come across https://t.co/SqmUa2oNHA which gives you five searches a month (I guess this is AI creations, such as lesson plans etc.) #ArtificialIntelligence #education",2023-01-20 22:01:29+00:00
30,1627060991208091648,"@Csvich This is such an interesting question!  Body/somatic practices, digital pedagogy ( AI, platforms, hybrids), back to real places, bridging the gap between liveness in presence and online. Passing on theatre culture alongside theatre history/skills. Introduce practice research. Play",2023-02-18 21:42:24+00:00
31,1618012267085463553,"An example of why students should avoid using AI as a substitute for proper research.  AI currently is a powerful tool for seeking truth, but not necessarily a source of truth itself.  #blockchain #AI #chatGPT @pmarca https://t.co/Gk4lap6ACX",2023-01-24 22:26:00+00:00
32,1640479105991712772,.@kevinolearytv @gocyalive is reinventing the virtual classroom. Cya Live bridges the gap between students and effective e-learning. Go beyond just video chat where Cya Live is making virtual interaction real! #edtech #elearning #students #teachers #Interactive #learning #ai #3D https://t.co/3WMPySwFuV,2023-03-27 22:21:12+00:00
33,1641531396685438977,"Expensive Education - With @AceitInc students have access to a platform that's affordable and offers personalized learning paths that suit their needs. Our AI technology allows students to focus on the areas they need to improve, reducing the long term cost of education.",2023-03-30 20:02:37+00:00
34,1620907306560139265,"@OzPariah @redherringdraws @meganroseruiz @ST_Arter Well as these ai systems used datasets from ‘LAION’ which contains © images and was only meant for research purposes, somehow they found there way into commercial ai generators. That suggests laws were broken hopefully we’ll find out soon.",2023-02-01 22:09:51+00:00
35,1640954140217036800,"Visvesvaraya Technological University (VTU) commemorated its Silver Jubilee celebration, by organizing a 5-DAY Faculty Development Program on ""Research Trends and opportunities in Artificial Intelligence and Data Science"" at Sahyadri Campus.  #sahyadri #empoweringyoungminds #vtu https://t.co/YZbj1dBCi4",2023-03-29 05:48:49+00:00
36,1640830401651396610,Key Learning take aways: 1. Have a goal and objectives. 2. Need to build social connections. 3. Need to Up skill; Have a balance between the soft and hard skills. 4. Need to create a social profile and leverage to maximize the use of social media. 5. Remain teachable,2023-03-28 21:37:07+00:00
37,1621628831567060992,@Heart_AI_Lab is investigating the future of Cardiovascular imaging interventional planning and teaching with #VirtualReality #Hololens in collaboration with @SiemensHealth      Thanks to @AwsHamid5 for the testing and #PapaBear @StefanTigges for looking on  @EmoryRadiology https://t.co/uX8uIa1zZn,2023-02-03 21:56:56+00:00
38,1609298069467570177,"@PeterDiamandis The centaur, (a human/computer hybrid) is already the greatest chess player on the planet. By combining the strengths of human brainpower with machine learning, we will avoid the existential threat of malevolent AI",2022-12-31 21:18:53+00:00
39,1603513119636070421,@DrDLittle Literally just talking about this problem at an Ai sandpit! @tas_hub @HoriaMaior we need more responsible research in this area,2022-12-15 22:11:34+00:00
40,1606035558194618393,"Stanford and MosaicML Researchers Announce the Release of PubMed GPT, a Purpose-Built AI Model Trained to Interpret Biomedical Language https://t.co/LY0VVO74A3 via @Marktechpost",2022-12-22 21:14:50+00:00
41,1628507796021907457,@paulineridley @srowett @hack_kay @KiuSum @Charlesknight @SmithySusanA @AdvanceHE_chat I just worry the easy way out is too easy. I already have problems getting engagement with the more challenging academic tasks. AI could make the easy way out easier.   YET we must also trust &amp; empower students. &amp; give them power to chose (as adults) #LTHEchat #AI #AdvanceHE_chat,2023-02-22 21:31:29+00:00
42,1632137086928142337,"@SteppingBackOut @DNC @DNCWarRoom @TheDemocrats @GOP @GOPTeens @RestoreOurGOP @AmericansVsGOP @NewYorkGOP @dotgop @DOJPH Gerrymandering should be done by AI so long as they can keep coded bias/gerrymandering out of it so the races were all up. Oh, and an electoral college system that didn’t sway so far MAGA.",2023-03-04 21:52:59+00:00
43,1606423705563058176,We are Top3 apps in education Germany with our CryptoClue App ! So proud  #crypto #Weihnachten #AppStore #NFTs #Metamask #education #web3  #AI #community https://t.co/eqnTopVezk,2022-12-23 22:57:11+00:00
44,1619102936231202816,@ABELATeachers check out this article on AI and ChatGPT. #chatgpt #abed #education #edtech https://t.co/dTOlC9Reoy,2023-01-27 22:39:56+00:00
45,1638161791061741569,MECHONS 2K23   National Level Technical Symposium on Modern Techniques in Machining and Manufacturing using Artificial Intelligence  #nprgi #nprnatham #nprcollege #npr #mechanical #engineering #MECHONS2K23 https://t.co/MkvBFKNVDs,2023-03-21 12:53:01+00:00
46,1621998361623527424,All eyes on Google! @i3_Technologies @Google @OpenAI #edtech https://t.co/zPXo5Zx4jy,2023-02-04 22:25:19+00:00
